"Station_ID","Latitude.x","Longitude.x","Data_Type","Start_Year","End_Year","Latitude.y","Longitude.y"
"ASN00042112",-26.6569,150.1819,"TAVG",2001,2023,"-26.6569","150.1819"
"ASN00043109",-28.0489,148.5942,"TAVG",2001,2023,"-28.0489","148.5942"
"ASN00044021",-26.4139,146.2558,"TAVG",1942,2023,"-26.4139","146.2558"
"ASN00045025",-27.9867,143.815,"TAVG",2001,2023,"-27.9867","143.8150"
"ASN00048027",-31.484,145.8294,"TAVG",1964,2023,"-31.4840","145.8294"
"ASN00053115",-29.4914,149.8458,"TAVG",1995,2023,"-29.4914","149.8458"
"ASN00056018",-29.7752,151.0819,"TAVG",1990,2023,"-29.7752","151.0819"
"ASN00058012",-29.4333,153.3633,"TAVG",1990,2023,"-29.4333","153.3633"
"ASN00059040",-30.3107,153.1187,"TAVG",1942,2023,"-30.3107","153.1187"
"ASN00060141",-31.8896,152.512,"TAVG",2001,2023,"-31.8896","152.5120"
"ASN00061078",-32.7932,151.8359,"TAVG",1942,2023,"-32.7932","151.8359"
"ASN00065070",-32.2206,148.5753,"TAVG",1997,2023,"-32.2206","148.5753"
"ASN00066037",-33.9465,151.1731,"TAVG",1943,2023,"-33.9465","151.1731"
"ASN00067033",-33.6022,150.7794,"TAVG",1997,2023,"-33.6022","150.7794"
"ASN00068072",-34.9469,150.5353,"TAVG",1955,2023,"-34.9469","150.5353"
"ASN00068151",-35.0936,150.8049,"TAVG",2003,2023,"-35.0936","150.8049"
"ASN00070015",-35.3,149.1,"TAVG",1939,2023,"-35.3000","149.1000"
"ASN00072091",-35.9383,148.3842,"TAVG",1998,2023,"-35.9383","148.3842"
"ASN00072150",-35.1583,147.4573,"TAVG",1941,2023,"-35.1583","147.4573"
"ASN00074258",-35.5575,144.9458,"TAVG",2001,2023,"-35.5575","144.9458"
"ASN00078015",-36.3092,141.6486,"TAVG",1950,2023,"-36.3092","141.6486"
"ASN00085096",-39.1297,146.4244,"TAVG",1973,2023,"-39.1297","146.4244"
"ASN00085298",-38.1072,147.1317,"TAVG",1944,2023,"-38.1072","147.1317"
"ASN00086282",-37.6655,144.8321,"TAVG",1973,2023,"-37.6655","144.8321"
"ASN00087031",-37.8565,144.7566,"TAVG",1946,2023,"-37.8565","144.7566"
"ASN00090015",-38.8556,143.5128,"TAVG",1973,2023,"-38.8556","143.5128"
"ASN00090184",-38.4306,141.5437,"TAVG",1990,2023,"-38.4306","141.5437"
"ASN00091245",-40.6828,144.69,"TAVG",1988,2023,"-40.6828","144.6900"
"ASN00091293",-41.0556,146.7856,"TAVG",2001,2023,"-41.0556","146.7856"
"ASN00091306",-41.7256,147.0794,"TAVG",2004,2023,"-41.7256","147.0794"
"ASN00091311",-41.5492,147.2144,"TAVG",1939,2023,"-41.5492","147.2144"
"ASN00092045",-40.9928,148.3467,"TAVG",1973,2023,"-40.9928","148.3467"
"ASN00094008",-42.8339,147.5033,"TAVG",1958,2023,"-42.8339","147.5033"
"ASN00096033",-41.8997,146.6694,"TAVG",2003,2023,"-41.8997","146.6694"
"AU000005010",48.05,14.1331,"TAVG",1977,2023,"48.0500","14.1331"
"AU000005901",48.2331,16.35,"TAVG",1952,2023,"48.2331","16.3500"
"AU000006306",47.8,13,"TAVG",1946,2023,"47.8000","13.0000"
"AU000011801",47.2667,11.4,"TAVG",1952,2023,"47.2667","11.4000"
"AU000016402",47.0831,15.45,"TAVG",1952,2023,"47.0831","15.4500"
"AUM00011155",47.817,13.717,"TAVG",1965,2023,"47.8170","13.7170"
"AUM00011231",46.65,14.333,"TAVG",1952,2023,"46.6500","14.3330"
"AUM00011343",47.05,12.95,"TAVG",2001,2023,"47.0500","12.9500"
"AUM00011389",48.183,15.617,"TAVG",2007,2023,"48.1830","15.6170"
"AYM00088963",-63.4,-56.983,"TAVG",1973,2023,"-63.4000","-56.9830"
"AYM00088968",-60.733,-44.733,"TAVG",1973,2023,"-60.7330","-44.7330"
"AYM00089002",-70.667,-8.25,"TAVG",1981,2023,"-70.6670","-8.2500"
"AYM00089003",-71.15,-6.683,"TAVG",2008,2023,"-71.1500","-6.6830"
"AYM00089004",-71.7,-2.8,"TAVG",1997,2023,"-71.7000","-2.8000"
"AYM00089013",-82.767,-13.05,"TAVG",2008,2023,"-82.7670","-13.0500"
"AYM00089022",-75.45,-26.217,"TAVG",1956,2023,"-75.4500","-26.2170"
"AYM00089034",-77.867,-34.617,"TAVG",1956,2023,"-77.8670","-34.6170"
"AYM00089050",-62.183,-58.883,"TAVG",1973,2023,"-62.1830","-58.8830"
"AYM00089053",-62.233,-58.633,"TAVG",1981,2023,"-62.2330","-58.6330"
"AYM00089055",-64.233,-56.717,"TAVG",1973,2023,"-64.2330","-56.7170"
"AYM00089056",-62.183,-58.983,"TAVG",1985,2023,"-62.1830","-58.9830"
"AYM00089057",-62.5,-59.683,"TAVG",1985,2023,"-62.5000","-59.6830"
"AYM00089058",-62.217,-58.967,"TAVG",1986,2023,"-62.2170","-58.9670"
"AYM00089059",-63.317,-56.683,"TAVG",1985,2023,"-63.3170","-56.6830"
"AYM00089061",-64.766,-64.083,"TAVG",1976,2023,"-64.7660","-64.0830"
"AYM00089062",-67.567,-68.117,"TAVG",1977,2023,"-67.5670","-68.1170"
"AYM00089063",-65.25,-64.267,"TAVG",1985,2023,"-65.2500","-64.2670"
"AYM00089065",-71.317,-68.283,"TAVG",2003,2023,"-71.3170","-68.2830"
"AYM00089066",-68.117,-67.133,"TAVG",1976,2023,"-68.1170","-67.1330"
"AYM00089251",-62.217,-58.75,"TAVG",1991,2023,"-62.2170","-58.7500"
"AYM00089257",-75.867,-59.15,"TAVG",1998,2023,"-75.8670","-59.1500"
"AYM00089262",-67.017,-61.467,"TAVG",1990,2023,"-67.0170","-61.4670"
"AYM00089266",-72.2,-60.167,"TAVG",1990,2023,"-72.2000","-60.1670"
"AYM00089272",-74.8,-71.483,"TAVG",1997,2023,"-74.8000","-71.4830"
"AYM00089504",-72.017,2.383,"TAVG",1994,2023,"-72.0170","2.3830"
"AYM00089512",-70.767,11.833,"TAVG",1973,2023,"-70.7670","11.8330"
"AYM00089532",-69,39.583,"TAVG",1973,2023,"-69.0000","39.5830"
"AYM00089542",-67.667,45.85,"TAVG",1973,2023,"-67.6670","45.8500"
"AYM00089564",-67.6,62.867,"TAVG",1985,2023,"-67.6000","62.8670"
"AYM00089571",-68.583,77.95,"TAVG",1973,2023,"-68.5830","77.9500"
"AYM00089573",-69.367,76.367,"TAVG",1990,2023,"-69.3670","76.3670"
"AYM00089574",-69.383,76.383,"TAVG",1988,2023,"-69.3830","76.3830"
"AYM00089575",-69.75,73.7,"TAVG",2010,2023,"-69.7500","73.7000"
"AYM00089577",-80.37,77.37,"TAVG",1996,2023,"-80.3700","77.3700"
"AYM00089578",-76.42,77.02,"TAVG",2005,2023,"-76.4200","77.0200"
"AYM00089592",-66.55,93.017,"TAVG",1973,2023,"-66.5500","93.0170"
"AYM00089606",-78.45,106.867,"TAVG",1973,2023,"-78.4500","106.8670"
"AYM00089611",-66.283,110.517,"TAVG",1973,2023,"-66.2830","110.5170"
"AYM00089615",-66.683,111.533,"TAVG",2007,2023,"-66.6830","111.5330"
"AYM00089625",-75.1,123.4,"TAVG",2006,2023,"-75.1000","123.4000"
"AYM00089642",-66.667,140.017,"TAVG",1985,2023,"-66.6670","140.0170"
"AYM00089648",-75.533,145.867,"TAVG",2006,2023,"-75.5330","145.8670"
"AYM00089657",-69.5,159.383,"TAVG",1973,2023,"-69.5000","159.3830"
"AYM00089659",-73.633,160.65,"TAVG",2006,2023,"-73.6330","160.6500"
"AYM00089661",-73.517,169.75,"TAVG",1995,2023,"-73.5170","169.7500"
"AYM00089662",-74.7,164.1,"TAVG",1995,2023,"-74.7000","164.1000"
"AYM00089666",-76.717,162.967,"TAVG",1995,2023,"-76.7170","162.9670"
"AYM00089767",-70.9,69.867,"TAVG",2001,2023,"-70.9000","69.8670"
"AYM00089809",-66.283,110.767,"TAVG",2005,2023,"-66.2830","110.7670"
"AYM00089811",-66.733,112.833,"TAVG",1993,2023,"-66.7330","112.8330"
"AYM00089828",-75.117,123.367,"TAVG",1990,2023,"-75.1170","123.3670"
"AYM00089879",-71.883,171.2,"TAVG",1994,2023,"-71.8830","171.2000"
"AYW00087602",-77.4167,163.6833,"TAVG",1990,2023,"-77.4167","163.6833"
"AYW00090001",-90,0,"TAVG",1994,2023,"-90.0000","0.0000"
"BA000041150",26.267,50.65,"TAVG",1944,2023,"26.2670","50.6500"
"BC000068032",-19.983,23.417,"TAVG",1973,2023,"-19.9830","23.4170"
"BC004612080",-26.467,20.617,"TAVG",1977,2023,"-26.4670","20.6170"
"BC008382520",-21.7,21.65,"TAVG",1973,2023,"-21.7000","21.6500"
"BC008948490",-21.217,27.5,"TAVG",1973,2023,"-21.2170","27.5000"
"BC012192590",-17.817,25.15,"TAVG",1982,2023,"-17.8170","25.1500"
"BCM00068030",-18.533,25.633,"TAVG",1998,2023,"-18.5330","25.6330"
"BDM00078016",32.3667,-64.6833,"TAVG",1941,2023,"32.3667","-64.6833"
"BE000006447",50.8,4.35,"TAVG",1973,2023,"50.8000","4.3500"
