system.index,Approxim_1,Approximat,ID,Latitude,Location,Longitude,first,.geo,Date
41,4087.325,43995.9663,66,40.8014623,Riverside Park @ 104th,-73.9729141,36.8900123,"{""type"":""Point"",""coordinates"":[-73.97291473672331,40.80146134059202]}",Aug-21
47,6313.096,67954.16534,72,40.7505195,Al Oerter (FMCP 8),-73.8338406,50.42195348,"{""type"":""Point"",""coordinates"":[-73.83383983396739,40.750520570157455]}",Aug-21
25,1481.149,15943.08784,38,40.8182459,Annunciation Park,-73.9521779,40.85064298,"{""type"":""Point"",""coordinates"":[-73.95217991682479,40.81824539695719]}",Aug-21
6,3221.298,34674.05167,7,40.8216213,PS29 Melrose School,-73.916145,39.80643787,"{""type"":""Point"",""coordinates"":[-73.91614592121189,40.82162093645464]}",Aug-21
57,2674.972,28793.39861,88,40.7484742,Linden Park (Queens),-73.8619557,41.70429347,"{""type"":""Point"",""coordinates"":[-73.86195446610937,40.74847384277392]}",Aug-21
61,7648.559,82329.08908,98,40.575565,Midland Beach,-74.081959,39.66202652,"{""type"":""Point"",""coordinates"":[-74.08195759388427,40.57556328122445]}",Aug-21
34,7486.684,80586.66658,53,40.7942389,Randalls Island 10 (Icahn Stadium),-73.9243363,40.18412908,"{""type"":""Point"",""coordinates"":[-73.92433728984707,40.79423759688544]}",Aug-21
0000000000000000002d,6555.907,70567.78295,46,40.7189721,East River Park Field 5,-73.9739882,43.27145564,"{""type"":""Point"",""coordinates"":[-73.97398938007719,40.718972430204325]}",Aug-21
0000000000000000002a,5787.005,62291.32182,43,40.7153103,Columbus Park,-74.0001056,40.32170438,"{""type"":""Point"",""coordinates"":[-74.00010633494722,40.71531150823944]}",Aug-21
0000000000000000002b,5787.005,62291.32182,44,40.711994,East River Park Field 1,-73.9772131,39.64493642,"{""type"":""Point"",""coordinates"":[-73.97721331013884,40.711993937055674]}",Aug-21
32,11250.26,121097.7986,51,40.8059462,Harlem River Park Fields 1 and 2 (128th St.),-73.9337363,46.69460267,"{""type"":""Point"",""coordinates"":[-73.93373707486774,40.805947196251786]}",Aug-21
30,2298.614,24742.2811,49,40.8024313,Eugene McCabe Field,-73.9415909,38.75539672,"{""type"":""Point"",""coordinates"":[-73.94158955182286,40.802433424621675]}",Aug-21
24,522.045,5619.286998,37,40.7104199,Al Smith,-73.9975553,38.07606524,"{""type"":""Point"",""coordinates"":[-73.99755572914466,40.71041987438382]}",Aug-21
7,12261.97,131987.8451,8,40.8856566,Seton Park Ballfield,-73.9157858,37.46851219,"{""type"":""Point"",""coordinates"":[-73.91578473402656,40.88565808668318]}",Aug-21
0000000000000000001b,7365.279,79279.86316,28,40.6500339,Parade Ground Field 8,-73.9686266,42.92623562,"{""type"":""Point"",""coordinates"":[-73.9686250815099,40.65003472791805]}",Aug-21
28,3249.626,34978.97426,41,40.8570419,Buczek Ballfield,-73.9256815,43.6064216,"{""type"":""Point"",""coordinates"":[-73.92567947926416,40.857044035223225]}",Aug-21
0000000000000000005d,11331.2,121969.0368,94,40.759263,"St. Michael’s Fields 01, 1",-73.900273,45.35473883,"{""type"":""Point"",""coordinates"":[-73.90027152146162,40.75926486732326]}",Aug-21
8,772.95,8320.029494,9,40.8111858,St. Mary’s Park,-73.9108928,36.26964167,"{""type"":""Point"",""coordinates"":[-73.91089310017094,40.81118663998958]}",Aug-21
38,5503.725,59242.0959,57,40.7821656,Randalls Island 74,-73.9272845,37.42407793,"{""type"":""Point"",""coordinates"":[-73.9272847556434,40.78216681033376]}",Aug-21
0000000000000000002c,5341.85,57499.6734,45,40.7124987,East River Park Field 2,-73.9769214,40.31486834,"{""type"":""Point"",""coordinates"":[-73.97692346857036,40.71249781547472]}",Aug-21
0000000000000000004e,4572.948,49223.21227,79,40.7465091,Flushing Meadow Corona Park 7,-73.8416113,37.9666886,"{""type"":""Point"",""coordinates"":[-73.84161204710354,40.74650737920935]}",Aug-21
15,9145.896,98446.42454,22,40.5793905,Kaiser Park,-73.9966496,39.42618314,"{""type"":""Point"",""coordinates"":[-73.9966505316308,40.57938918992831]}",Aug-21
18,2938.018,31624.82575,25,40.6964696,Mclaughlin Park,-73.9854296,40.38664676,"{""type"":""Point"",""coordinates"":[-73.98543143338033,40.696471806288635]}",Aug-21
40,1533.759,16509.38188,65,40.8001116,Riverside Park @ 101st,-73.9739129,30.86233403,"{""type"":""Point"",""coordinates"":[-73.97391357535928,40.80011023297283]}",Aug-21
4,2359.317,25395.68819,5,40.8773525,Marble Hill Park,-73.9082846,38.86733687,"{""type"":""Point"",""coordinates"":[-73.90828452605467,40.8773507814206]}",Aug-21
2,1578.27,16988.49828,3,40.8338766,John Mullaly Park (North),-73.9241049,42.05805854,"{""type"":""Point"",""coordinates"":[-73.9241054165923,40.83387454614952]}",Aug-21
3,1578.27,16988.49828,4,40.8332606,John Mullaly Park (South),-73.924454,40.77801005,"{""type"":""Point"",""coordinates"":[-73.92445322647445,40.83325919020414]}",Aug-21
56,9105.427,98010.81623,87,40.7027322,"Liberty Park (Detective Keith Williams) 01, 1",-73.7843169,40.81731728,"{""type"":""Point"",""coordinates"":[-73.78431705766782,40.702732384167675]}",Aug-21
